smile_fold1,target_fold1,prediction_fold1,smile_fold1
c1ccc2c3ccccc3Cc2c1C,-5.22,-5.109422,c1ccc2c3ccccc3Cc2c1C
NC(=N)NCC(=O)O,-1.51,-0.6133054,NC(=N)NCC(=O)O
O=COCC(C)C,-1.01,-0.337844985,O=COCC(C)C
O=C(N(C)C)N(C)C,0.94,0.19515636,O=C(N(C)C)N(C)C
c1ccccc1c2c(Cl)cc(Cl)cc2,-5.25,-5.630044,c1ccccc1c2c(Cl)cc(Cl)cc2
n(ccc(c1)c(ccnc2)c2)c1,-1.54,-1.61085245,n(ccc(c1)c(ccnc2)c2)c1
c1cc(N)ccc1S(=O)(=O)Nc2ncc(C)cn2,-2.82,-2.7860515,c1cc(N)ccc1S(=O)(=O)Nc2ncc(C)cn2
c1c(Cl)cc(Cl)cc1Cl,-4.48,-3.613015,c1c(Cl)cc(Cl)cc1Cl
c1cc(Cl)c(Cl)cc1c2c(Cl)cc(Cl)c(Cl)c2,-7.39,-7.562119,c1cc(Cl)c(Cl)cc1c2c(Cl)cc(Cl)c(Cl)c2
c1cc(Cl)ccc1c2c(Cl)ccc(Cl)c2,-6.25,-6.242112,c1cc(Cl)ccc1c2c(Cl)ccc(Cl)c2
CC(CCC(O)=O)C3CCC4C2C(O)CC1CC(O)CCC1(C)C2CCC34C,-3.64,-4.777226,CC(CCC(O)=O)C3CCC4C2C(O)CC1CC(O)CCC1(C)C2CCC34C
c1cccc(C)c1C,-2.8,-2.749575,c1cccc(C)c1C
C(=CCC(C(=C)C)C1)(C1)C,-4,-3.9887665,C(=CCC(C(=C)C)C1)(C1)C
CCC(N)C(=O)O,0.31,0.47294745,CCC(N)C(=O)O
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47,-4.384374,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C
CCOC(C)C,-0.55,-0.27631718,CCOC(C)C
COc1c(Cl)ccc(Cl)c1C(O)=O,-1.7,-2.8288955,COc1c(Cl)ccc(Cl)c1C(O)=O
c1cnc2cncnc2n1,0.02,-1.05927055,c1cnc2cncnc2n1
C1CCCC(C)C1=O,-0.94,-1.25543155,C1CCCC(C)C1=O
C1C(O)CC2CCC3C4CCC(=O)C4(C)CC(O)C3C2(C)C1,-3.59,-3.6108015,C1C(O)CC2CCC3C4CCC(=O)C4(C)CC(O)C3C2(C)C1
O=C(N)c(nccn1)c1,-0.91,-0.352816955,O=C(N)c(nccn1)c1
CCC(O)C,0.43,0.173427709,CCC(O)C
C1C(OC(=O)C)CC2=CCC3C4CCC(=O)C4(C)CCC3C2(C)C1,-4.46,-4.3284055,C1C(OC(=O)C)CC2=CCC3C4CCC(=O)C4(C)CCC3C2(C)C1
OC(=O)c1c(C=O)ccc(OC)c1OC,-1.92,-1.717405,OC(=O)c1c(C=O)ccc(OC)c1OC
CC34CCC1C(CCC2=CC(=O)CCC12)C3CCC4(O)C#C,-4.57,-4.9589045,CC34CCC1C(CCC2=CC(=O)CCC12)C3CCC4(O)C#C
s(c(c(c1cccc2)ccc3)c3)c12,-4.38,-4.7248095,s(c(c(c1cccc2)ccc3)c3)c12
c1ccccc1S,-2.12,-2.468974,c1ccccc1S
Clc1cc(Cl)c(Cl)cc1c2c(Cl)c(Cl)cc(Cl)c2,-8.6,-8.0687765,Clc1cc(Cl)c(Cl)cc1c2c(Cl)c(Cl)cc(Cl)c2
ClCC(O)CCl,-0.11,-0.67702625,ClCC(O)CCl
c1cc(N)ccc1S(=O)(=O)Nc2nc(C)c(C)o2,-2.44,-2.5518235,c1cc(N)ccc1S(=O)(=O)Nc2nc(C)c(C)o2
C1(=O)C=C2CCC3C4CC(C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1,-4.9,-3.8193335,C1(=O)C=C2CCC3C4CC(C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1
O=C(O)C(C)C,0.28,0.115928467,O=C(O)C(C)C
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42,-2.27413,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C
C1CCN2CC(C3)C4CCCCN4CC3C2C1,-1.89,-1.63677,C1CCN2CC(C3)C4CCCCN4CC3C2C1
CCCCC=C,-3.23,-2.9507545,CCCCC=C
c1c(C(C)(C)C)cc(C(C)(C)C)cc1OC(=O)NC,-4.24,-3.7732385,c1c(C(C)(C)C)cc(C(C)(C)C)cc1OC(=O)NC
O=C(c(ccc(N)c1)c1)CC,-2.63,-1.829691,O=C(c(ccc(N)c1)c1)CC
O=N(=O)c(cccc1C)c1,-2.44,-2.0239775,O=N(=O)c(cccc1C)c1
OCC(O)C(O)CO,0.7,0.862691695,OCC(O)C(O)CO
OC(=O)c1ccsc1,-1.47,-0.60234545,OC(=O)c1ccsc1
CCNc1nc(NC(C)C)nc(SC)n1,-3.04,-3.347759,CCNc1nc(NC(C)C)nc(SC)n1
N(N)c(cccc1)c1,0.07,-0.80772845,N(N)c(cccc1)c1
c1ccc(Cl)c(Cl)c1c2c(Cl)ccc(Cl)c2,-6.47,-6.9351275,c1ccc(Cl)c(Cl)c1c2c(Cl)ccc(Cl)c2
c1cccc(Cl)c1C,-3.52,-2.7162855,c1cccc(Cl)c1C
O=C(O)CCC(C(C(C(C(C(C(C(C1)CC(O)C2)(C2)C)C3)C1)C4)(C3O)C)C4)C,-3.95,-4.6250885,O=C(O)CCC(C(C(C(C(C(C(C(C1)CC(O)C2)(C2)C)C3)C1)C4)(C3O)C)C4)C
OCCCCCCCC,-2.39,-2.344996,OCCCCCCCC
ClC1=C(Cl)C(Cl)(C2(Cl)Cl)C3CC=CC3C12Cl,-5.64,-6.0112055,ClC1=C(Cl)C(Cl)(C2(Cl)Cl)C3CC=CC3C12Cl
CC13CCC(=O)C=C1CCC4C2CCC(O)(C(=O)CO)C2(C)CC(=O)C34,-3.11,-3.5560495,CC13CCC(=O)C=C1CCC4C2CCC(O)(C(=O)CO)C2(C)CC(=O)C34
N(CCCC1)(C1)C,0.23,0.25917492,N(CCCC1)(C1)C
CCCCCC#C,-3.01,-3.273505,CCCCCC#C
n(c(ccc1)C(Cl)(Cl)Cl)c1Cl,-3.76,-4.2450375,n(c(ccc1)C(Cl)(Cl)Cl)c1Cl
c1ccccc1c2c(Cl)cc(Cl)cc2Cl,-6.14,-6.137266,c1ccccc1c2c(Cl)cc(Cl)cc2Cl
CCOP(=S)(OCC)SCSCC,-4.11,-3.8299075,CCOP(=S)(OCC)SCSCC
c12ccccc1cc3c4ccccc4c5c3c2ccc5,-8.23,-7.7324255,c12ccccc1cc3c4ccccc4c5c3c2ccc5
c1ccccc1c2ccccc2,-4.31,-4.2591555,c1ccccc1c2ccccc2
c1cc(C)ccc1C(=O)O,-2.6,-1.2744113,c1cc(C)ccc1C(=O)O
CCCCC(C)C(C)O,-1.72,-1.9457615,CCCCC(C)C(C)O
N1C=Nc2ncnc2C1(=O),-2.29,-1.134386,N1C=Nc2ncnc2C1(=O)
O=N(=O)c(ccc(Oc(c(cc(c1)Cl)Cl)c1)c2)c2,-5.46,-5.003102,O=N(=O)c(ccc(Oc(c(cc(c1)Cl)Cl)c1)c2)c2
O=C(C=C(CC1(C)C)C)C1,-1.06,-1.81572,O=C(C=C(CC1(C)C)C)C1
ClC(Cl)Cl,-1.17,-1.25942615,ClC(Cl)Cl
n(cccc1O)c1,-0.46,0.311731545,n(cccc1O)c1
O=C(OCC)C,-0.04,0.135224271,O=C(OCC)C
c1cnc2cnc(OC)nc2n1,-1.11,-1.709311,c1cnc2cnc(OC)nc2n1
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72,-5.312288,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
Oc(cccc1O)c1,0.81,-0.26448287,Oc(cccc1O)c1
ClC(Cl)CCC,-2.4,-2.308192,ClC(Cl)CCC
N#Cc(c(C#N)ccc1)c1,-2.38,-1.931186,N#Cc(c(C#N)ccc1)c1
CC(=O)N(C)C,1.11,0.84634595,CC(=O)N(C)C
O(c(c(O)cc(c1)Cl)c1)c(c(cc(c2)Cl)Cl)c2,-4.46,-5.2139955,O(c(c(O)cc(c1)Cl)c1)c(c(cc(c2)Cl)Cl)c2
c1ccc2c3ccccc3c4ccccc4c2c1,-6.74,-7.1954365,c1ccc2c3ccccc3c4ccccc4c2c1
O=NN(CCCC1)C1,-0.17,-0.5067687,O=NN(CCCC1)C1
n1cncn1CC(O)(c2ccc(F)cc2)c3ccccc3F,-3.37,-3.9894325,n1cncn1CC(O)(c2ccc(F)cc2)c3ccccc3F
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.54,-2.646621,CC(C)c1ccc(NC(=O)N(C)C)cc1
C1=C(C)C(=O)NC(=O)N1,-1.52,-0.85068865,C1=C(C)C(=O)NC(=O)N1
c(c(c(c1ccc2)c2)ccc3)(c3)C1,-4.91,-4.318962,c(c(c(c1ccc2)c2)ccc3)(c3)C1
OCCCCCCC,-1.81,-1.762809,OCCCCCCC
OC(=O)c1ccccc1C(F)(F)F,-1.6,-3.0669365,OC(=O)c1ccccc1C(F)(F)F
c1cc(N)ccc1S(=O)(=O)N(C(=O)C)c2onc(C)c2C,-3.59,-2.8504095,c1cc(N)ccc1S(=O)(=O)N(C(=O)C)c2onc(C)c2C
CC(O)(CC)C,0.08,-0.19991435,CC(O)(CC)C
O=C(O)C(=C)C,0.01,-0.00024057,O=C(O)C(=C)C
C3c1ccccc1c4ccc2ccccc2c34,-6.68,-6.6420155,C3c1ccccc1c4ccc2ccccc2c34
OCCN4CCN(CCCN2c1ccccc1Sc3ccc(cc23)C(F)(F)F)CC4,-4.15,-4.2912225,OCCN4CCN(CCCN2c1ccccc1Sc3ccc(cc23)C(F)(F)F)CC4
c1cccc(C)c1CC,-3.21,-3.3840285,c1cccc(C)c1CC
Cc1ccc2C(=O)C(C(=O)O)=CN(CC)c2n1,-3.37,-1.7456015,Cc1ccc2C(=O)C(C(=O)O)=CN(CC)c2n1
ClC(Cl)C,-1.29,-1.09357385,ClC(Cl)C
O=S(=O)(Nc(nccc1C)n1)c(ccc(N)c2)c2,-2.85,-2.8580055,O=S(=O)(Nc(nccc1C)n1)c(ccc(N)c2)c2
ClC(Cl)(F)C(F)(F)Cl,-3.04,-2.1920355,ClC(Cl)(F)C(F)(F)Cl
Cc1occc1C(=O)Nc2ccccc2,-3.3,-2.4646365,Cc1occc1C(=O)Nc2ccccc2
O=C(OCC)CCCCCCCCC,-4.1,-3.8165655,O=C(OCC)CCCCCCCCC
CN(C)CCCN2c1ccccc1CCc3ccccc23,-4.19,-3.627413,CN(C)CCCN2c1ccccc1CCc3ccccc23
Nc(ccc(c(ccc(N)c1)c1)c2)c2,-2.7,-3.1423955,Nc(ccc(c(ccc(N)c1)c1)c2)c2
NC(=O)N,0.96,0.511849385,NC(=O)N
CC(Br)C,-1.59,-1.7575835,CC(Br)C
c1ccccc1c2c(Cl)cccc2Cl,-5.21,-5.4655555,c1ccccc1c2c(Cl)cccc2Cl
n(cccn1)c1,1.1,0.23083764,n(cccn1)c1
CCC=CC,-2.54,-1.938553,CCC=CC
O=C(O)C(C(C(=O)O)C(O1)CC2)C12,-0.27,-0.8071694,O=C(O)C(C(C(=O)O)C(O1)CC2)C12
c1cc2C(=O)C=C(C)C(=O)c2cc1,-3.03,-2.8829175,c1cc2C(=O)C=C(C)C(=O)c2cc1
n(nccc1)c1,1.1,-0.083213683,n(nccc1)c1
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C,-4,-3.906506,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C
CNC(=O)Oc1ccccc1OC(C)C,-2.05,-2.362334,CNC(=O)Oc1ccccc1OC(C)C
O=C(OC)CC,-0.14,0.081181333,O=C(OC)CC
c1ccccc1CCCC,-4.06,-3.9101835,c1ccccc1CCCC
OCCCCCCCCCCCC,-4.67,-4.6075905,OCCCCCCCCCCCC
c1cc(F)ccc1CCl,-2.54,-2.717862,c1cc(F)ccc1CCl
FC(F)(C(F)(F)Cl)Cl,-3.12,-1.55921855,FC(F)(C(F)(F)Cl)Cl
O=C(O)CCc(cccc1)c1,-1.41,-1.9823655,O=C(O)CCc(cccc1)c1
O=C(NC(=O)C(O)(C1=O)C(O)(C(=O)NC(=O)N2)C2=O)N1,-2.23,-2.436491,O=C(NC(=O)C(O)(C1=O)C(O)(C(=O)NC(=O)N2)C2=O)N1
CC(O)(C)CCCCC,-1.72,-1.8309125,CC(O)(C)CCCCC
CCCCC,-3.18,-2.4626235,CCCCC
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09,-5.1229075,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.52,-2.24289,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
c1ccccc1CCC,-3.37,-3.2884945,c1ccccc1CCC
O=N(=O)c(cc(N(=O)=O)c(O)c1C(CC)C)c1,-3.38,-3.348251,O=N(=O)c(cc(N(=O)=O)c(O)c1C(CC)C)c1
c2ccc1cc3c(cc1c2)c4cccc5cccc3c45,-8.49,-7.528927,c2ccc1cc3c(cc1c2)c4cccc5cccc3c45
ClCCBr,-1.32,-1.360204,ClCCBr
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-11.62,-9.0932845,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
OCC(C)C,0.04,0.188468808,OCC(C)C
OCC(CCCC)CC,-2.11,-2.1561615,OCC(CCCC)CC
N(c(c(ccc1)C2)c1)C2,-1.04,-1.0303914,N(c(c(ccc1)C2)c1)C2
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,-6.51,-6.905169,ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl
O=C(OC)c(cccn1)c1,-0.46,-0.595977585,O=C(OC)c(cccn1)c1
n1c(N)nc(N)c(Cc2cc(OC)c(OCCOC)c(OC)c2)c1,-2.1,-3.342653,n1c(N)nc(N)c(Cc2cc(OC)c(OCCOC)c(OC)c2)c1
c1ccc(Cl)cc1O,-0.7,-1.3564245,c1ccc(Cl)cc1O
O=C(OCc1ccccc1)N,-0.35,-1.679704,O=C(OCc1ccccc1)N
Clc1cccc(Cl)c1c2c(Cl)cc(Cl)cc2Cl,-7.32,-7.3144955,Clc1cccc(Cl)c1c2c(Cl)cc(Cl)cc2Cl
CCC(O)CCC,-0.8,-0.9679046,CCC(O)CCC
CCC(C)(C)C,-3.55,-2.4229305,CCC(C)(C)C
COc1ccc2C=CC(=O)Oc2c1CC=C(C)C,-4.31,-3.7934295,COc1ccc2C=CC(=O)Oc2c1CC=C(C)C
c1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-10.26,-8.768788,c1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
O(CCNC1)C1,1.06,0.7991434,O(CCNC1)C1
ClCCS(=O)CCCl,-1.16,-1.79379255,ClCCS(=O)CCCl
CCCN(CCC)CCC,-2.28,-1.4533365,CCCN(CCC)CCC
OC(=O)CC(C)(C(=O)O)C(C)(C)C(=O)O,-0.29,-1.06735685,OC(=O)CC(C)(C(=O)O)C(C)(C)C(=O)O
CCCCCCC,-4.53,-3.731035,CCCCCCC
O=C(NCCCC)NS(=O)(=O)c(ccc(c1)C)c1,-3.39,-2.735626,O=C(NCCCC)NS(=O)(=O)c(ccc(c1)C)c1
ClC(Cl)(Cl)C(Cl)Cl,-2.6,-2.9281285,ClC(Cl)(Cl)C(Cl)Cl
O=C(N(S(=O)(=O)Nc1cccc2)C(C)C)c12,-2.68,-2.3796255,O=C(N(S(=O)(=O)Nc1cccc2)C(C)C)c12
O=C(NC(=O)C1=O)N1,-0.4,-0.7904252,O=C(NC(=O)C1=O)N1
c1ccc2Sc3ccc(OC)cc3N(CC(C)CN(C)C)c2c1,-4.22,-4.0472315,c1ccc2Sc3ccc(OC)cc3N(CC(C)CN(C)C)c2c1
O=C(O)c(c(O)c(cc1I)I)c1,-3.31,-3.045819,O=C(O)c(c(O)c(cc1I)I)c1
O=CCCCCC,-1.3,-1.3587,O=CCCCCC
CCN(CC)C(=S)SCC(Cl)=C,-3.39,-3.6832675,CCN(CC)C(=S)SCC(Cl)=C
C1C(C)(C)CC(=O)C=C1OC(=O)N(C)C,-0.85,-1.583769,C1C(C)(C)CC(=O)C=C1OC(=O)N(C)C
ClC(Cl)(Cl)C,-2,-1.7611215,ClC(Cl)(Cl)C
CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4.1,-3.9152105,CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14
Oc(ccc(c1)Br)c1,-1.09,-1.80621,Oc(ccc(c1)Br)c1
O=N(=O)c(c(O)ccc1)c1,-1.74,-1.5646035,O=N(=O)c(c(O)ccc1)c1
O=C(Nc(c(ccc1)C)c1C)C(N(CCC2)C)C2,-1.55,-2.413299,O=C(Nc(c(ccc1)C)c1C)C(N(CCC2)C)C2
c1ccc2ncsc2c1,-1.5,-2.201456,c1ccc2ncsc2c1
BrCCCCl,-1.85,-1.940118,BrCCCCl
O(CC(O)C1)C1,1.05,0.7067187,O(CC(O)C1)C1
FC(F)(F)c(cccc1C(n(ncn2)c2)(c(cccc3)c3)c(cccc4)c4)c1,-8.4,-5.114935,FC(F)(F)c(cccc1C(n(ncn2)c2)(c(cccc3)c3)c(cccc4)c4)c1
O=C(O)COc(c(cc(c1Cl)Cl)Cl)c1,-2.96,-3.754439,O=C(O)COc(c(cc(c1Cl)Cl)Cl)c1
n(ccc(n1)O)c1S,-2.26,-1.63702265,n(ccc(n1)O)c1S
CCN(CC)CC,-0.14,0.045248317,CCN(CC)CC
CCCC(O)C(CC)CO,-0.54,-1.01264845,CCCC(O)C(CC)CO
c1c(Cl)ccc(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94,-8.094803,c1c(Cl)ccc(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
O=C(NCC1)C1,1.07,0.296547565,O=C(NCC1)C1
OC(=O)c1cccnc1Nc2cc(C(F)(F)F)ccc2,-4.17,-3.653703,OC(=O)c1cccnc1Nc2cc(C(F)(F)F)ccc2
CC(O)(C)C(C)CC,-0.89,-0.9907064,CC(O)(C)C(C)CC
O=C(Nc(cccc1)c1)Nc(cccc2)c2,-3.15,-3.3968485,O=C(Nc(cccc1)c1)Nc(cccc2)c2
c1ccccc1CCl,-2.39,-2.443326,c1ccccc1CCl
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89,-5.637767,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl
c1ccccc1C(C)(C)C,-3.66,-3.2186635,c1ccccc1C(C)(C)C
O=C(N)c(cccn1)c1,0.61,-0.478282285,O=C(N)c(cccn1)c1
O=C(NCC(=O)N1)C1,-0.83,0.062448205,O=C(NCC(=O)N1)C1
CCNC(=O)C(C)OC(=O)Nc1ccccc1,-1.83,-2.391195,CCNC(=O)C(C)OC(=O)Nc1ccccc1
NC(Cc2cc(I)c(Oc1ccc(O)c(I)c1)c(I)c2)C(O)=O,-5.22,-5.3094265,NC(Cc2cc(I)c(Oc1ccc(O)c(I)c1)c(I)c2)C(O)=O
O=C(c(cccc1)c1)CC,-1.83,-2.036368,O=C(c(cccc1)c1)CC
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc3cccc(Oc2ccccc2)c3,-6.29,-5.860046,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc3cccc(Oc2ccccc2)c3
O=C(O)CCCCCCCCCCCCCCC,-6.81,-5.158906,O=C(O)CCCCCCCCCCCCCCC
OC(c(cccc1)c1)Cc(cccc2)c2,-2.52,-3.572165,OC(c(cccc1)c1)Cc(cccc2)c2
CC(C)CC=C,-3.24,-2.700766,CC(C)CC=C
n(c(c(c(c1)C)ccc2c(ccn3)C)c23)c1,-3.97,-3.005597,n(c(c(c(c1)C)ccc2c(ccn3)C)c23)c1
OC(C=C)(CCC=C(C)C)C,-1.99,-2.277998,OC(C=C)(CCC=C(C)C)C
ClCCS(=O)(=O)CCl,-1.5,-0.49005704,ClCCS(=O)(=O)CCl
n(c(N(Cc(cccc1)c1)CCN(C)C)ccc2)c2,-2.64,-2.423844,n(c(N(Cc(cccc1)c1)CCN(C)C)ccc2)c2
O=C1C=C2CCC3C4CCC(O)(C(=O)COC(=O)C(C)(C)C)C4(C)CC(O)C3C2(C)C=C1,-4.58,-4.4029015,O=C1C=C2CCC3C4CCC(O)(C(=O)COC(=O)C(C)(C)C)C4(C)CC(O)C3C2(C)C=C1
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09,-2.52982,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2
O=C(N(C)C)Nc(cccc1C(F)(F)F)c1,-3.43,-2.7373305,O=C(N(C)C)Nc(cccc1C(F)(F)F)c1
O=C1C=C2CCC3C4CC(OC(=O)C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1,-4.13,-3.6685305,O=C1C=C2CCC3C4CC(OC(=O)C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1
c1cc(O)c2C(=O)C3=C(O)C4(O)C(=O)C(C(=O)N)=C(O)C(N(C)C)C4CC3C(O)c2c1Cl,-2.52,-3.098129,c1cc(O)c2C(=O)C3=C(O)C4(O)C(=O)C(C(=O)N)=C(O)C(N(C)C)C4CC3C(O)c2c1Cl
O=C(N)NO,1.12,-0.044594071,O=C(N)NO
ClC=CCl,-1.3,-1.27973645,ClC=CCl
ICCCC,-2.96,-3.0009635,ICCCC
O=N(=O)c(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl,-5.82,-5.275358,O=N(=O)c(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl
Nc3ccc2cc1ccccc1cc2c3,-5.17,-4.3149775,Nc3ccc2cc1ccccc1cc2c3
O=CC=C,0.57,0.085719495,O=CC=C
O=N(=O)NC(=N)N,-1.37,-1.5576695,O=N(=O)NC(=N)N
c1cc(Cl)ccc1c2c(Cl)cc(Cl)cc2,-6.21,-6.0958255,c1cc(Cl)ccc1c2c(Cl)cc(Cl)cc2
CNC(=O)ON=C1C(C2)C(C#N)CC2C1Cl,-2.08,-2.715943,CNC(=O)ON=C1C(C2)C(C#N)CC2C1Cl
N(CCCC)(CCCC)CCCC,-3.12,-3.124378,N(CCCC)(CCCC)CCCC
O(c(ccc(nccc1C(O)C(N(CCC2C3C=C)C3)C2)c14)c4)C,-3.37,-3.796215,O(c(ccc(nccc1C(O)C(N(CCC2C3C=C)C3)C2)c14)c4)C
O=C(O)CCCCCCCCCCN,-2.7,-2.904092,O=C(O)CCCCCCCCCCN
O=C(O)C(N)CCSC,-0.42,-0.6216296,O=C(O)C(N)CCSC
COc2ccc(CC1NCC(O)C1OC(C)=O)cc2,-1.61,-1.8264247,COc2ccc(CC1NCC(O)C1OC(C)=O)cc2
CCC(O)CC,-0.24,-0.46907385,CCC(O)CC
C1CNCCN1c2ncc3C(=O)C(C(=O)O)=CN(CC)c3n2,-2.98,-2.435151,C1CNCCN1c2ncc3C(=O)C(C(=O)O)=CN(CC)c3n2
c1ccc(Cl)cc1c2cc(Cl)ccc2,-5.8,-5.43017,c1ccc(Cl)cc1c2cc(Cl)ccc2
OC(CC)(CC)CC,-0.85,-1.2831114,OC(CC)(CC)CC
c1ccccc1C(C)C,-3.27,-3.2727285,c1ccccc1C(C)C
CCCCCCC=C,-4.44,-4.1356865,CCCCCCC=C
c1cc(OCC)ccc1C(=O)OCCN(CC)CC,-2.71,-2.994616,c1cc(OCC)ccc1C(=O)OCCN(CC)CC
c1cc(Cl)c(Cl)cc1c2c(Cl)c(Cl)c(Cl)cc2,-7.05,-7.5650895,c1cc(Cl)c(Cl)cc1c2c(Cl)c(Cl)c(Cl)cc2
c(c(c(c(c1)ccc2)c2)cc(c3c(c(c4)ccc5)c5)c4)(c1)c3,-8.66,-7.826225,c(c(c(c(c1)ccc2)c2)cc(c3c(c(c4)ccc5)c5)c4)(c1)c3
c1ccc(C)c(C)c1C,-3.2,-3.353751,c1ccc(C)c(C)c1C
c1ccc2cc3ccccc3c(O)c2c1,-4.73,-4.4180425,c1ccc2cc3ccccc3c(O)c2c1
OC(C(C)C)C,-0.2,-0.2088322,OC(C(C)C)C
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,-2.060415,CNC(=O)Oc1cccc(N=CN(C)C)c1
CC(O)(C)C(C)C,-0.41,-0.4248085,CC(O)(C)C(C)C
CCCCOc2cc(C(=O)NCCN(CC)CC)c1ccccc1n2,-3.7,-4.130471,CCCCOc2cc(C(=O)NCCN(CC)CC)c1ccccc1n2
c1cc(OCCCC)ccc1C(=O)OCCN(CC)CC,-3.84,-3.715522,c1cc(OCCCC)ccc1C(=O)OCCN(CC)CC
C=CCS(=O)SCC=C,-0.83,-2.753597,C=CCS(=O)SCC=C
CN(C)C,0.84,1.3695576,CN(C)C
